i1,out_modelYearID,out_fuelTypeID,out_dayID,out_SHO,out_activity,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantKilojoules,out_emissionQuant,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_pollutantID,out_processID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID
1,2020,1,5,402.6176603769177,80.52353207538354,155268.1668888951,155268.1668888951,12502741.216763949,11.850311643927064,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,2019,1,5,480.62938079334634,96.12587615866927,158877.4143222005,158877.4143222005,15272230.653545432,14.475281028754429,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,2018,1,5,507.5180304883093,101.50360609766186,159198.65228605949,159198.65228605949,16159237.292922817,15.316001069633197,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,2017,1,5,570.2352611038926,114.04705222077853,167458.69395928804,167458.69395928804,19098170.414798293,18.1015720729094,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,2016,1,5,568.6493121343977,113.72986242687955,170601.7579492007,170601.7579492007,19402514.4613464,18.390034557738975,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,2015,1,5,607.7619621269895,121.5523924253979,179374.31009297198,179374.31009297198,21803376.53145594,20.665612629108978,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,2014,1,5,563.6951306860644,112.73902613721289,187590.1330785611,187590.1330785611,21148728.916227143,20.04512643948737,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,2013,1,5,573.4426434643063,114.68852869286127,192755.05644548053,192755.05644548053,22106793.821841586,20.953196718620866,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,2012,1,5,489.89728344000207,97.97945668800041,199312.78052592586,199312.78052592586,19528557.946904883,18.509500725890334,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,2011,1,5,359.05664640956604,71.8113292819132,217444.09042707426,217444.09042707426,15614949.17806474,14.800115499154819,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,2010,1,5,356.2443525194939,71.24887050389877,216655.82037598206,216655.82037598206,15436482.489884298,14.630961724288065,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,2009,1,5,318.16097829341277,63.632195658682555,213779.9514214912,213779.9514214912,13603287.69675598,12.893428392520223,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,2008,1,5,393.14510879899035,78.62902175979806,217922.57236687376,217922.57236687376,17135038.684586085,16.24088229314303,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,2007,1,5,415.19776535938905,83.0395530718778,222311.09793760497,222311.09793760497,18460614.21565717,17.497285419338603,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,2006,1,5,355.79950014830104,71.15990002966021,220862.1321532406,220862.1321532406,15716527.244362202,14.89639292511629,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,2005,1,5,314.89007101540653,62.97801420308131,221377.5944380755,221377.5944380755,13941921.286765093,13.214391092230365,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,2004,1,5,255.0202039901817,51.00404079803634,221780.9234494446,221780.9234494446,11311723.267841648,10.721444492032742,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,2003,1,5,230.2885652303022,46.05771304606044,221578.07970463994,221578.07970463994,10205379.612333415,9.672833081482615,2020,8,9,26,26161,21,4,91,1,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
