i1,out_cohortOrdinal,out_pointOrdinal,out_ageSlot,out_ppOrdinal,out_SCC,out_modelYearID,out_polProcessID,out_pollutantID,out_processID,out_yearID,out_monthID,out_dayID,out_countyID,out_hourID,out_stateID,out_fuelTypeID,out_zoneID,out_linkID,out_sourceTypeID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
1,1,1,1,1,2260004015,2020,101,1,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,182.5670166015625
2,1,1,1,2,2260004015,2020,501,5,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.941840171813965
3,1,1,1,3,2260004015,2020,2001,20,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5055770874023438
4,1,1,1,4,2260004015,2020,2101,21,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.546436309814453
5,1,1,1,5,2260004015,2020,2301,23,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002261968096718192
6,1,1,1,6,2260004015,2020,2401,24,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8467559218406677
7,1,1,1,7,2260004015,2020,2501,25,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3659799098968506
8,1,1,1,8,2260004015,2020,2601,26,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8167001605033875
9,1,1,1,9,2260004015,2020,2701,27,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08073686808347702
10,1,1,1,10,2260004015,2020,4501,45,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.199983596801758
11,1,1,1,11,2260004015,2020,4601,46,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.155747413635254
12,1,1,1,12,2260004015,2020,6001,60,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000001415986957908899
13,1,1,1,13,2260004015,2020,6301,63,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000049795544327935204
14,1,1,1,14,2260004015,2020,6501,65,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000017306508937053877
15,1,1,1,15,2260004015,2020,6601,66,1,2020,8,5,26161,0,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000021397137970780022
