i1,out_yearID,out_monthID,out_dayID,out_hourID,out_stateID,out_countyID,out_zoneID,out_linkID,out_pollutantID,out_processID,out_sourceTypeID,out_regClassID,out_fuelTypeID,out_fuelSubTypeID,out_modelYearID,out_roadTypeID,out_SCC,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
1,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2020,4,2201210412,NaN,NaN,NaN,1.1523778634518873
2,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2019,4,2201210412,NaN,NaN,NaN,1.5713464216665203
3,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2018,4,2201210412,NaN,NaN,NaN,1.6504690585413406
4,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2017,4,2201210412,NaN,NaN,NaN,2.120963450757469
5,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2016,4,2201210412,NaN,NaN,NaN,4.550497887360128
6,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2015,4,2201210412,NaN,NaN,NaN,5.9008301787687865
7,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2014,4,2201210412,NaN,NaN,NaN,7.557228544897489
8,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2013,4,2201210412,NaN,NaN,NaN,7.678420122877901
9,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2012,4,2201210412,NaN,NaN,NaN,8.257223544385564
10,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2011,4,2201210412,NaN,NaN,NaN,6.055526914344021
11,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2010,4,2201210412,NaN,NaN,NaN,8.351177485618742
12,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2009,4,2201210412,NaN,NaN,NaN,7.480932340982038
13,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2008,4,2201210412,NaN,NaN,NaN,9.307894737000666
14,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2007,4,2201210412,NaN,NaN,NaN,9.837431660600615
15,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2006,4,2201210412,NaN,NaN,NaN,8.375141850765168
16,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2005,4,2201210412,NaN,NaN,NaN,10.184300636117092
17,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2004,4,2201210412,NaN,NaN,NaN,8.262992460129592
18,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2003,4,2201210412,NaN,NaN,NaN,14.753153772167229
19,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2002,4,2201210412,NaN,NaN,NaN,11.726909938614202
20,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2001,4,2201210412,NaN,NaN,NaN,9.379187086820163
21,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,2000,4,2201210412,NaN,NaN,NaN,8.301327381399627
22,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1999,4,2201210412,NaN,NaN,NaN,6.051615963208393
23,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1998,4,2201210412,NaN,NaN,NaN,4.654578192709055
24,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1997,4,2201210412,NaN,NaN,NaN,3.6578357787729976
25,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1996,4,2201210412,NaN,NaN,NaN,2.6732291590613118
26,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1995,4,2201210412,NaN,NaN,NaN,40.16540268366735
27,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1994,4,2201210412,NaN,NaN,NaN,29.54965982013409
28,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1993,4,2201210412,NaN,NaN,NaN,24.295324373402558
29,2020,8,5,7,26,26161,NaN,NaN,1,12,21,NaN,1,NaN,1992,4,2201210412,NaN,NaN,NaN,20.4979394408077
