i1,out_yearID,out_monthID,out_dayID,out_hourID,out_stateID,out_countyID,out_zoneID,out_linkID,out_pollutantID,out_processID,out_sourceTypeID,out_regClassID,out_fuelTypeID,out_fuelSubTypeID,out_modelYearID,out_roadTypeID,out_SCC,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
1,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2020,4,2201210413,NaN,NaN,NaN,6.499756445219468
2,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2019,4,2201210413,NaN,NaN,NaN,8.276420317315898
3,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2018,4,2201210413,NaN,NaN,NaN,8.693166230477335
4,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2017,4,2201210413,NaN,NaN,NaN,10.544716409445755
5,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2016,4,2201210413,NaN,NaN,NaN,10.560414066266452
6,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2015,4,2201210413,NaN,NaN,NaN,12.16651862179137
7,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2014,4,2201210413,NaN,NaN,NaN,11.284571281061186
8,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2013,4,2201210413,NaN,NaN,NaN,11.465536431480995
9,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2012,4,2201210413,NaN,NaN,NaN,9.84181746311369
10,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2011,4,2201210413,NaN,NaN,NaN,7.217606525194384
11,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2010,4,2201210413,NaN,NaN,NaN,20.420051346883245
12,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2009,4,2201210413,NaN,NaN,NaN,18.292153745801336
13,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2008,4,2201210413,NaN,NaN,NaN,22.759387977114187
14,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2007,4,2201210413,NaN,NaN,NaN,24.054195947439627
15,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2006,4,2201210413,NaN,NaN,NaN,20.47864830134005
16,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2005,4,2201210413,NaN,NaN,NaN,55.14635841318359
17,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2004,4,2201210413,NaN,NaN,NaN,44.742782057685986
18,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2003,4,2201210413,NaN,NaN,NaN,40.36671203836047
19,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2002,4,2201210413,NaN,NaN,NaN,32.08648156876684
20,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2001,4,2201210413,NaN,NaN,NaN,25.66278032035732
21,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,2000,4,2201210413,NaN,NaN,NaN,70.57381714625828
22,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1999,4,2201210413,NaN,NaN,NaN,51.44787318999086
23,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1998,4,2201210413,NaN,NaN,NaN,39.57094271468494
24,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1997,4,2201210413,NaN,NaN,NaN,31.097127187223684
25,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1996,4,2201210413,NaN,NaN,NaN,22.726484234841756
26,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1995,4,2201210413,NaN,NaN,NaN,21.194476737904626
27,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1994,4,2201210413,NaN,NaN,NaN,15.592762323418658
28,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1993,4,2201210413,NaN,NaN,NaN,12.820154980826695
29,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1992,4,2201210413,NaN,NaN,NaN,10.816351178519025
30,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1991,4,2201210413,NaN,NaN,NaN,10.64482656261006
31,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1990,4,2201210413,NaN,NaN,NaN,8.885084323042815
32,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1989,4,2201210413,NaN,NaN,NaN,8.646573426210843
33,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1988,4,2201210413,NaN,NaN,NaN,7.751881045924125
34,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1987,4,2201210413,NaN,NaN,NaN,7.530855776376434
35,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1986,4,2201210413,NaN,NaN,NaN,6.53174961285154
36,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1985,4,2201210413,NaN,NaN,NaN,4.9045627215140275
37,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1984,4,2201210413,NaN,NaN,NaN,3.8689823799891983
38,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1983,4,2201210413,NaN,NaN,NaN,2.7845272903403346
39,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1982,4,2201210413,NaN,NaN,NaN,1.971829784840785
40,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1981,4,2201210413,NaN,NaN,NaN,1.4334249502971876
41,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,1,NaN,1980,4,2201210413,NaN,NaN,NaN,18.726686295997105
42,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2020,4,2205210413,NaN,NaN,NaN,0.002167503663246957
43,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2019,4,2205210413,NaN,NaN,NaN,0.004347040596575866
44,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2018,4,2205210413,NaN,NaN,NaN,0.0038605872670329673
45,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2017,4,2205210413,NaN,NaN,NaN,0.0030006156272187274
46,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2016,4,2205210413,NaN,NaN,NaN,0.005813792681639856
47,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2015,4,2205210413,NaN,NaN,NaN,0.007066026733876883
48,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2014,4,2205210413,NaN,NaN,NaN,0.00842588596247831
49,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2013,4,2205210413,NaN,NaN,NaN,0.009614641730032703
50,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2012,4,2205210413,NaN,NaN,NaN,0.008509019094714246
51,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2011,4,2205210413,NaN,NaN,NaN,0.011130245222940824
52,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2010,4,2205210413,NaN,NaN,NaN,0.019815177652234436
53,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2009,4,2205210413,NaN,NaN,NaN,0.015017550788621659
54,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2008,4,2205210413,NaN,NaN,NaN,0.020962765982902507
55,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2007,4,2205210413,NaN,NaN,NaN,0.013031509662375406
56,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2006,4,2205210413,NaN,NaN,NaN,0.013101415341885202
57,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2005,4,2205210413,NaN,NaN,NaN,0.013743714681308774
58,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2004,4,2205210413,NaN,NaN,NaN,0.007636036529574628
59,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2003,4,2205210413,NaN,NaN,NaN,0.01029308896762591
60,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2002,4,2205210413,NaN,NaN,NaN,0.004568856674062831
61,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2001,4,2205210413,NaN,NaN,NaN,0.004326383759826991
62,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,2000,4,2205210413,NaN,NaN,NaN,0.015785694553778127
63,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,1999,4,2205210413,NaN,NaN,NaN,0.015608462334524485
64,2020,8,5,7,26,26161,NaN,NaN,1,13,21,NaN,5,NaN,1998,4,2205210413,NaN,NaN,NaN,0.006391027785491989
