i1,out_yearID,out_monthID,out_dayID,out_hourID,out_stateID,out_countyID,out_zoneID,out_linkID,out_pollutantID,out_processID,out_sourceTypeID,out_regClassID,out_fuelTypeID,out_fuelSubTypeID,out_modelYearID,out_roadTypeID,out_SCC,out_engTechID,out_sectorID,out_hpID,out_emissionQuant
1,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2020,4,2201210411,NaN,NaN,NaN,0.2946973678289224
2,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2019,4,2201210411,NaN,NaN,NaN,0.4850139788081083
3,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2018,4,2201210411,NaN,NaN,NaN,0.5094360822954765
4,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2017,4,2201210411,NaN,NaN,NaN,0.7540040741605404
5,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2016,4,2201210411,NaN,NaN,NaN,0.7551265412557178
6,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2015,4,2201210411,NaN,NaN,NaN,1.13261502394093
7,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2014,4,2201210411,NaN,NaN,NaN,1.0505120954461162
8,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2013,4,2201210411,NaN,NaN,NaN,1.067358644121766
9,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2012,4,2201210411,NaN,NaN,NaN,0.9162021337510201
10,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2011,4,2201210411,NaN,NaN,NaN,0.6719070460047193
11,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2010,4,2201210411,NaN,NaN,NaN,0.6689344594393954
12,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2009,4,2201210411,NaN,NaN,NaN,0.5992272874376281
13,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2008,4,2201210411,NaN,NaN,NaN,0.7455681004429066
14,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2007,4,2201210411,NaN,NaN,NaN,0.7879843341239091
15,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2006,4,2201210411,NaN,NaN,NaN,0.6708540198454147
16,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2005,4,2201210411,NaN,NaN,NaN,0.5951056358808405
17,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2004,4,2201210411,NaN,NaN,NaN,0.4828366284500042
18,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2003,4,2201210411,NaN,NaN,NaN,0.43561276804570204
19,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2002,4,2201210411,NaN,NaN,NaN,0.3462576055175195
20,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2001,4,2201210411,NaN,NaN,NaN,0.27693696629232983
21,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,2000,4,2201210411,NaN,NaN,NaN,0.2376030642247325
22,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1999,4,2201210411,NaN,NaN,NaN,0.17321115410909013
23,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1998,4,2201210411,NaN,NaN,NaN,0.38269454755952326
24,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1997,4,2201210411,NaN,NaN,NaN,1.2830351086539689
25,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1996,4,2201210411,NaN,NaN,NaN,1.0349612519810265
26,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1995,4,2201210411,NaN,NaN,NaN,1.2261740852433718
27,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1994,4,2201210411,NaN,NaN,NaN,0.9020954522619374
28,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1993,4,2201210411,NaN,NaN,NaN,0.74169048854978
29,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1992,4,2201210411,NaN,NaN,NaN,0.6257634796084538
30,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1991,4,2201210411,NaN,NaN,NaN,0.6158401848930551
31,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1990,4,2201210411,NaN,NaN,NaN,0.5140329849537176
32,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1989,4,2201210411,NaN,NaN,NaN,0.5002343012513507
33,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1988,4,2201210411,NaN,NaN,NaN,0.44847323988906207
34,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1987,4,2201210411,NaN,NaN,NaN,0.4356861604506431
35,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1986,4,2201210411,NaN,NaN,NaN,0.3778843991110863
36,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1985,4,2201210411,NaN,NaN,NaN,0.28374598641616466
37,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1984,4,2201210411,NaN,NaN,NaN,0.2238340672087286
38,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1983,4,2201210411,NaN,NaN,NaN,0.16109457408599456
39,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1982,4,2201210411,NaN,NaN,NaN,0.11407720098881852
40,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1981,4,2201210411,NaN,NaN,NaN,0.0829286114930265
41,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,1,NaN,1980,4,2201210411,NaN,NaN,NaN,1.0834038378294955
42,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2020,4,2205210411,NaN,NaN,NaN,0.00009827408606798297
43,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2019,4,2205210411,NaN,NaN,NaN,0.0002547448504245848
44,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2018,4,2205210411,NaN,NaN,NaN,0.00022623775969933158
45,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2017,4,2205210411,NaN,NaN,NaN,0.00021456019489400616
46,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2016,4,2205210411,NaN,NaN,NaN,0.0004157175212748652
47,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2015,4,2205210411,NaN,NaN,NaN,0.000657796062056975
48,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2014,4,2205210411,NaN,NaN,NaN,0.0007843891361020074
49,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2013,4,2205210411,NaN,NaN,NaN,0.0008950537135364269
50,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2012,4,2205210411,NaN,NaN,NaN,0.0007921282303724953
51,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2011,4,2205210411,NaN,NaN,NaN,0.0010361454538910183
52,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2010,4,2205210411,NaN,NaN,NaN,0.0006491195798837291
53,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2009,4,2205210411,NaN,NaN,NaN,0.0004919555317584254
54,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2008,4,2205210411,NaN,NaN,NaN,0.0006867130886655557
55,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2007,4,2205210411,NaN,NaN,NaN,0.0004268953943159834
56,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2006,4,2205210411,NaN,NaN,NaN,0.0004291854139217258
57,2020,8,5,7,26,26161,NaN,NaN,1,11,21,NaN,5,NaN,2005,4,2205210411,NaN,NaN,NaN,0.00014831372914063162
