i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantDirect,out_emissionQuant
1,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,3,1,0.771623548490833,0.7312881021804019,38.035362437325034,38.035362437325034
2,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,1,3,1,0.9051441190260986,0.8578290881569837,53.261980934379366,53.261980934379366
3,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,1,3,1,1.0329078351973393,0.9789141505674295,64.1803842507157,64.1803842507157
4,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,1,3,1,1.1829448659303934,1.1211082239289183,82.58626734771057,82.58626734771057
5,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,1,3,1,3.0320209141999515,1.5519054191946065,114.00292606334959,114.00292606334959
6,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,1,3,1,3.0035723864710917,1.53734436384576,120.7010105036632,120.7010105036632
7,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,1,3,1,3.2643440307084886,1.670817363972175,121.668875404312,121.668875404312
8,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,1,3,1,3.2603147972907642,1.668755046675193,123.62001965167057,123.62001965167057
9,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,1,3,1,3.5305680271893247,1.807081088580181,114.36388567414662,114.36388567414662
10,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,1,3,1,3.532681966764344,1.8081630845080312,83.87003016281912,83.87003016281912
11,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,1,3,1,4.1933347886461,2.1463107172248193,98.77494873241517,98.77494873241517
12,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,1,3,1,5.119130997832349,2.620168977033385,107.69175243062702,107.69175243062702
13,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,1,3,1,5.4180830118664955,2.773184165182624,140.84382763031766,140.84382763031766
14,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,1,3,1,5.613471517195119,2.87319154931633,154.1082250102345,154.1082250102345
15,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,1,3,1,7.345493885324592,3.759707498687893,172.80870780292142,172.80870780292142
16,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,1,3,1,9.45193169996335,4.837863735811642,196.79716106862995,196.79716106862995
17,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,1,3,1,12.878177728212371,6.5915487957765695,217.1542286109241,217.1542286109241
18,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,1,3,1,18.26637113134458,9.349434304688353,278.14031286745575,278.14031286745575
19,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,1,3,1,21.935342502766964,11.227355570835915,266.1458782822181,266.1458782822181
20,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,1,3,1,22.00153954930486,11.26123777619133,212.86359224425428,212.86359224425428
21,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,1,3,1,42.04763109746299,41.49182427267956,693.9547622993374,693.9547622993374
22,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,1,3,1,57.90284384062456,57.1374548058323,695.6380067863919,695.6380067863919
23,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,1,3,1,65.68003868025707,64.81184675605782,607.0259266425144,607.0259266425144
24,5,36.74778034358123,7.349556068716247,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1997,1,3,1,83.07082102770025,81.97274895889481,602.4633145801987,602.4633145801987
25,5,26.865139913300695,5.373027982660139,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996,1,3,1,84.27041150333773,83.15648264174986,446.8021081737141,446.8021081737141
26,5,25.04660490806586,5.009320981613172,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1995,1,3,1,97.45728731637983,96.16904767001859,481.7416282751814,481.7416282751814
27,5,18.41216437802274,3.6824328756045484,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1994,1,3,1,113.19981556009054,111.70348322434761,411.3405789448788,411.3405789448788
28,5,15.146433442304176,3.029286688460835,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1993,1,3,1,163.5619639803711,160.81324143120352,487.14941159578325,487.14941159578325
29,5,12.785088718582324,2.557017743716465,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1992,1,3,1,163.48445180559742,160.73703187873545,411.00744258624565,411.00744258624565
