i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_emissionQuant,out_refuelingRate,out_chainedEnergy
1,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,1,18,2.8123389854410377,0.0361,9189413.768621335
2,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,1,1,18,5.419817619031713,0.056954351734097845,11224967.724563068
3,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,1,1,18,7.8343751192750295,0.07780870346819568,11876911.627851235
4,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,1,1,18,11.74090345675578,0.09866305520229354,14036999.96171767
5,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,1,1,18,14.089048547509938,0.11653821383152026,14260693.62574098
6,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,1,1,18,18.665612300011,0.1373925655656181,16025306.667582024
7,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,1,1,18,20.85330034915226,0.15824691729971596,15544146.520552233
8,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,1,1,18,24.670599991933262,0.1791012690338138,16248317.24988753
9,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,1,1,18,24.330948069350264,0.19995562076791165,14353332.864798486
10,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,1,1,18,21.483969796624105,0.22080997250200948,11476862.828301866
11,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,1,1,18,22.957732886110236,0.2386851311312359,11345691.604757326
12,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,1,1,18,21.998982128381677,0.25953948286533374,9998307.59184477
13,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,1,1,18,29.937038909333683,0.28039383459943157,12594116.991621323
14,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,1,1,18,34.65180740073986,0.30124818633352946,13568404.818285251
15,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,1,1,18,31.543221161636318,0.3221025380676273,11551522.690304166
16,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2201210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,1,1,18,29.793221319321663,0.3429568898017251,10247201.406931251
